"서울시",강서구,553,40,2,24,209,31,247,26801,12918,51388,24794,1215,877,107,75,1153,1638,383,67,83102,563,24,3,30,207,31,268,28132,13566,53994,26061,1278,922,126,87,4403,47,550,68,82247,577,31,3,19,199,28,297,28739,13565,55216,26398,1336,955,126,90,4512,48,563,70,82204,63,576,8064,561,30,1,14,177,31,308,30645,15250,53072,25017,1757,1222,267,183,4387,47,547,69,81051,63,567,7938,561,25,1,8,177,35,315,30411,14957,68068,32967,1782,1247,399,253,3955,1489,651,64,582,8107
"서울시",구로구,347,28,2,29,134,21,133,28722,14314,28095,13662,730,591,106,78,961,582,196,62,55763,344,24,2,17,129,21,151,27260,13646,26344,12950,538,386,106,76,923,566,188,62,55220,349,23,2,14,111,25,174,27282,13531,26204,13087,1030,716,123,84,1444,894,258,64,54322,38,203,4299,353,28,1,13,99,28,184,27065,13290,26574,13257,1168,873,125,87,1631,853,323,66,53327,38,244,4659,374,22,4,13,95,31,209,21302,10623,23869,11081,1256,908,278,177,1841,832,336,41,310,4564
"서울시",금천구,229,17,-,20,92,6,94,9066,4875,12259,6581,634,464,86,58,1248,67,169,60,38297,221,14,-,11,86,6,104,9914,5416,12410,6707,699,515,84,51,1170,43,157,59,37724,230,14,-,8,77,5,126,10235,5572,12317,6632,781,545,121,84,878,642,148,63,36733,14,66,2174,215,12,-,6,69,7,121,10011,5386,11858,6255,715,533,84,49,953,593,173,61,35261,14,59,1709,217,13,-,5,65,8,126,10568,5591,11586,6145,524,374,106,73,1014,602,175,14,85,1533
"서울시",영등포구,455,80,8,27,136,42,162,25190,11745,38974,15602,1139,729,239,134,1611,595,353,89,51353,445,66,10,17,129,41,182,23496,10975,33396,14264,1145,726,265,172,1541,577,339,89,49763,466,67,7,15,121,44,212,23646,11086,28329,12395,1586,1022,267,179,1843,829,354,95,48880,32,160,3026,450,66,6,11,122,44,201,23141,10890,27810,12206,1670,1099,247,168,1901,950,400,94,48037,32,212,3221,458,58,9,10,118,52,211,30275,13772,32942,14108,1620,1023,387,231,2004,965,434,32,234,3211
"서울시",동작구,353,29,32,29,123,16,124,109267,60675,327590,153381,1123,702,277,185,2178,262,809,71,49622,396,29,40,26,130,21,150,87025,43288,335545,179268,2177,918,642,310,2270,301,472,79,50148,374,24,32,13,96,19,190,103083,51853,293824,144324,1168,729,269,177,1353,163,503,76,49403,93,293,9105,389,26,45,19,108,22,169,117428,53625,498142,214856,3200,1163,860,406,2416,372,445,81,48122,93,629,14026,137,-,9,8,38,8,74,35620,16035,121015,50819,875,397,238,92,754,248,162,61,292,9101
"서울시",관악구,426,32,16,27,152,30,169,56957,26108,99244,38542,2885,1145,918,473,2122,243,430,68,62786,419,26,20,18,140,30,185,46059,19987,122832,49551,2924,1051,433,208,2496,360,423,67,62508,302,29,18,18,143,36,58,48810,21553,73598,27030,1517,631,533,277,1123,129,228,49,61669,121,652,17587,440,27,17,14,143,34,205,61575,30979,150013,74620,2130,1151,481,265,2779,173,450,73,60384,121,842,21485,169,2,-,8,62,14,83,16013,8211,16525,8561,674,492,116,70,813,501,174,83,476,14601
"서울시",서초구,684,87,24,35,187,77,274,65574,31937,179205,86056,1853,821,1136,410,1041,951,714,129,53147,716,86,26,39,177,89,299,71123,34559,194770,93337,1956,850,1183,433,1090,995,747,135,52992,703,77,24,33,167,84,318,73206,35966,214335,102475,2049,890,1235,451,1260,1114,783,132,53085,68,207,8511,777,69,23,31,180,101,373,68540,33162,214229,100938,2087,911,1249,794,1243,128,150,149,52195,68,172,1348,802,80,23,34,189,103,373,74033,34687,218205,102328,2122,940,1288,484,4958,52,1128,65,253,8255
"서울시",강남구,1248,167,31,48,296,189,517,156532,75350,427069,203087,3594,1450,2047,826,2258,2513,1464,150,83164,1355,170,31,49,299,205,601,175614,84424,479306,227572,3954,1577,2216,899,2452,2728,1590,166,81836,1434,176,31,43,285,223,676,187339,91902,527686,249925,4145,1652,2322,942,2836,3109,1669,176,81427,106,355,11001,1531,173,29,44,284,239,762,192407,94270,524797,248339,4447,1924,2561,1577,1874,207,355,191,80262,106,348,3202,1608,194,36,40,305,270,763,198615,97116,432625,205122,4757,2593,2688,1045,9796,127,1801,101,435,11010
"서울시",송파구,1006,42,1,83,392,67,421,150503,74857,199459,101072,2785,1576,751,297,4335,1333,996,104,97089,983,39,1,66,379,61,437,67734,34212,90647,43427,3577,2245,876,310,3438,2296,863,104,94259,1004,36,1,53,345,67,502,82961,41817,59838,29440,3254,2122,861,282,3941,2460,962,108,92728,105,886,11896,1051,34,1,48,327,83,558,90650,45312,64518,31431,3537,2298,950,639,4125,2575,1007,115,91404,105,903,12127,1118,38,3,44,325,87,621,97809,48802,70680,34643,3819,2468,1019,685,4155,2588,1012,102,911,11888
"서울시",강동구,681,47,6,71,233,34,290,109923,53012,152481,74127,1961,1211,1099,367,3015,1301,651,93,73201,677,40,7,57,210,36,327,57278,28620,84889,41922,2487,1446,557,270,3145,1098,368,96,70714,718,36,7,61,200,38,376,56455,27914,45529,22161,2356,1453,699,371,3823,1241,458,105,68665,77,1287,9451,717,37,5,55,189,43,388,57404,28212,45919,22260,2410,1490,728,337,3817,1239,457,107,66792,77,1271,9330,720,35,4,49,178,49,405,58184,28531,46925,22171,2502,1541,738,336,3841,1242,459,79,1311,9575
