"자치구별(1)","자치구별(2)",고등학교별(1),고등학교별(2),2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020
"자치구별(1)","자치구별(2)",고등학교별(1),고등학교별(2),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명),졸업자 (명),진학자수 (명),진학률 (%),취업자 (명),기타 (명)
"합계","광진구",고등학교(합계),일반고,3987,2269,56.9,35,1683,2921,1733,59.3,32,1156,3006,1890,62.9,71,1045,2887,1833,63.5,42,1012,2918,1788,61.3,58,1072,2805,1681,59.9,48,1076,2734,1643,60.1,40,1051,2480,1491,60.1,31,958,2454,1468,59.8,35,951,1872,1134,60.6,26,712
"합계","광진구",고등학교(합계),특수목적고,830,551,66.4,-,279,821,651,79.3,-,170,813,550,67.7,-,263,780,531,68.1,-,249,742,497,67.0,-,245,709,482,68.0,-,227,651,447,68.7,1,203,649,470,72.4,2,177,638,443,69.4,-,195,631,430,68.1,-,201
"합계","광진구",고등학교(합계),자율고,-,-,-,-,-,475,216,45.5,-,259,425,245,57.6,-,180,444,256,57.7,18,170,307,188,61.2,-,119,316,210,66.5,7,99,238,148,62.2,9,81,266,151,56.8,1,114,251,132,52.6,-,119,194,126,64.9,-,68
"합계","동대문구",고등학교(합계),소계,3693,2217,60.0,267,1209,3488,2081,59.7,324,1083,3459,2044,59.1,329,1086,3323,1958,58.9,396,969,3165,1807,57.1,343,1015,3220,1980,61.5,347,893,3089,1814,58.7,380,895,3080,1818,59.0,305,957,3114,1781,57.2,352,981,2628,1768,67.3,186,674
"합계","동대문구",고등학교(합계),일반고,1625,1045,64.3,18,562,1495,987,66.0,6,502,1493,1041,69.7,7,445,1640,1147,69.9,7,486,1651,1131,68.5,12,508,1649,1285,77.9,20,344,1558,1127,72.3,18,413,1480,1067,72.1,40,373,1489,1022,68.6,78,389,1228,890,72.5,27,311
"합계","동대문구",고등학교(합계),특성화고,686,324,47.2,214,148,701,287,40.9,310,104,706,211,29.9,312,183,743,191,25.7,382,170,640,156,24.4,331,153,627,140,22.3,327,160,622,144,23.2,362,116,637,153,24.0,265,219,631,205,32.5,273,153,529,157,29.7,148,224
"합계","동대문구",고등학교(합계),자율고,1382,848,61.4,35,499,1292,807,62.5,8,477,1260,792,62.9,10,458,940,620,66.0,7,313,874,520,59.5,-,354,944,555,58.8,-,389,909,543,59.7,-,366,963,598,62.1,-,365,994,554,55.7,1,439,871,721,82.8,11,139
"합계","중랑구",고등학교(합계),소계,3898,2425,62.2,114,1359,3693,2368,64.1,206,1119,3581,2361,65.9,220,1000,3590,2378,66.2,269,943,3324,2082,62.6,276,966,3278,2021,61.7,255,1002,2913,1714,58.8,260,939,2777,1709,61.5,241,827,2769,1699,61.4,247,823,2298,1440,62.7,214,644
"합계","중랑구",고등학교(합계),일반고,2680,1625,60.6,6,1049,2514,1583,63.0,47,884,2428,1621,66.8,74,733,2571,1699,66.1,134,738,2297,1512,65.8,90,695,2258,1413,62.6,67,778,1880,1165,62.0,14,701,1781,1211,68.0,8,562,1764,1182,67.0,46,536,1445,985,68.2,36,424
"합계","중랑구",고등학교(합계),특성화고,450,306,68.0,72,72,458,264,57.6,139,55,459,244,53.2,146,69,403,202,50.1,135,66,408,171,41.9,171,66,406,177,43.6,146,83,435,166,38.2,190,79,412,122,29.6,187,103,373,160,42.9,150,63,360,148,41.1,132,80
